name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Lemon","Vegetables",98,123,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/9d74aade-b8db-45aa-b2ae-84fd414310d1_large.jpg","Sour and refreshing, 30–40 per kg. Bright yellow and green, ideal for juice or garnishing.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Keep refrigerated in mesh bag","[{""weight"":""500g"",""price"":54,""stock"":50},{""weight"":""1 kg"",""price"":98,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":186,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":451,""stock"":20}]"
"Dragon Fruit (white)","Exotics",69,86,"1 Pc",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/91c6646c-e88f-4671-afc3-82c532ff7250_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Dragon Fruit (white). High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""1 Pc"",""price"":69,""stock"":50},{""weight"":""2 Pcs Pack"",""price"":131,""stock"":40},{""weight"":""4 Pcs Family Pack"",""price"":255,""stock"":30}]"
"Apple Imported","Fruits",298,373,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/7acb038e-9b83-40f6-abb0-1df946d4c2e4_large.jpg","Deep red, crisp, and juicy. Each imported apple weighs 180–200g, perfect for a fresh, wholesome bite.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":164,""stock"":50},{""weight"":""1 kg"",""price"":298,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":566,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":1371,""stock"":20}]"
"Orange Imported","Fruits",159,199,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/614c5ef0-f32c-4d0c-a219-8105192b60ee_large.jpg","Sweet, tangy, and full of juice. Imported for premium quality.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":87,""stock"":50},{""weight"":""1 kg"",""price"":159,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":302,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":731,""stock"":20}]"
"Pineapple","Fruits",89,111,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/8d2384a0-a389-40a8-ada7-c170a2fd2e3c_large.jpg","Next day usage, king variety","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":49,""stock"":50},{""weight"":""1 kg"",""price"":89,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":169,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":409,""stock"":20}]"
"Sweet lime","Fruits",138,173,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/64715c0a-08ec-40bc-af8a-cf8abf74e72e_large.jpg","These limes give a balanced sweet-tangy flavour, 6–8 pieces per kg.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":76,""stock"":50},{""weight"":""1 kg"",""price"":138,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":262,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":635,""stock"":20}]"
"Watermelon Kiran","Fruits",29,36,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/c1090a5e-15b8-4dcc-b83f-238ea9feb5cf_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Watermelon Kiran. High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":16,""stock"":50},{""weight"":""1 kg"",""price"":29,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":55,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":133,""stock"":20}]"
"Watermelon Striped","Fruits",29,36,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/a88d4b45-96fb-49a7-bc4b-1fa40918f325_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Watermelon Striped. High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":16,""stock"":50},{""weight"":""1 kg"",""price"":29,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":55,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":133,""stock"":20}]"
"Papaya","Fruits",48,60,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/0279b2f1-ac54-4808-9ad6-9ee24d725736_large.jpg","Next day usage, disco","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":26,""stock"":50},{""weight"":""1 kg"",""price"":48,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":91,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":221,""stock"":20}]"
"Musk Melon","Fruits",49,61,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/d9c15aa2-668d-4e46-aa02-457eb2fecb25_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Musk Melon. High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":27,""stock"":50},{""weight"":""1 kg"",""price"":49,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":93,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":225,""stock"":20}]"
"Guava White","Fruits",89,111,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/207d749e-672f-47d6-b9e2-2cf54aba84a3_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Guava White. High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":49,""stock"":50},{""weight"":""1 kg"",""price"":89,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":169,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":409,""stock"":20}]"
"Blueberry Imported","Exotics",229,286,"1 Box",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/2eab8a93-9664-48f2-9db3-13a7bcd59588_large.jpg","Usually grown in the northern hemisphere, Blueberries have been shown in clinical trials to destroy belly fat! This super food show promise in fighting Type II Diabetes, heart disease, dementia and more.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""1 Box (125g)"",""price"":229,""stock"":40},{""weight"":""2 Boxes (250g)"",""price"":435,""stock"":30}]"
"Chikku (Sapotta)","Fruits",119,149,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/fda12849-e681-4445-8062-72930dc0387a_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Chikku (Sapotta). High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":65,""stock"":50},{""weight"":""1 kg"",""price"":119,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":226,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":547,""stock"":20}]"
"Kiwi Imported","Exotics",69,86,"1 Pc",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/4dff02c9-4639-48b9-86aa-eb6ded5c13ab_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Kiwi Imported. High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""1 Pc"",""price"":69,""stock"":50},{""weight"":""2 Pcs Pack"",""price"":131,""stock"":40},{""weight"":""4 Pcs Family Pack"",""price"":255,""stock"":30}]"
"Banana Red","Fruits",79,99,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/e6b8d12e-446b-4059-9e83-0e5db35ea88c_large.jpg","Unique red banana. Firm today, soft and sweet by next day.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":43,""stock"":50},{""weight"":""1 kg"",""price"":79,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":150,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":363,""stock"":20}]"
"Banana Yelakki","Fruits",79,99,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/478b54df-5e62-4c44-adb5-361d41377aa0_large.jpg","Bite-sized bananas, perfectly ripe in 24 hours.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":43,""stock"":50},{""weight"":""1 kg"",""price"":79,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":150,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":363,""stock"":20}]"
"Banana Nendram","Fruits",69,86,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/c002a244-3638-4654-b860-1f12e4d40988_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Banana Nendram. High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":38,""stock"":50},{""weight"":""1 kg"",""price"":69,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":131,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":317,""stock"":20}]"
"Banana Poovan","Fruits",49,61,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/9983b438-40fc-4660-86b6-01e530d1bcee_large.jpg","Local favourite, ready to eat the next day.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":27,""stock"":50},{""weight"":""1 kg"",""price"":49,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":93,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":225,""stock"":20}]"
"Banana Morris (Robusta)","Fruits",48,60,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/aa9ff7a7-8843-469b-8af9-95f034bfb131_large.jpg","Classic variety, firm and filling. Best used the next day.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":26,""stock"":50},{""weight"":""1 kg"",""price"":48,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":91,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":221,""stock"":20}]"
"Mango Imam pasand (Himayath)","Fruits",189,236,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/c685e0d5-2f92-4bd0-a5c4-5ca4686c3d2b_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Mango Imam pasand (Himayath). High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":104,""stock"":50},{""weight"":""1 kg"",""price"":189,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":359,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":869,""stock"":20}]"
"Thai Guava","Fruits",125,156,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/fda78caa-b4bc-44c7-8c4d-65df4925df24_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Thai Guava. High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":69,""stock"":50},{""weight"":""1 kg"",""price"":125,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":238,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":575,""stock"":20}]"
"Mango Senthura","Fruits",69,86,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/8461608a-f7f2-426e-9714-24aad50710b9_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Mango Senthura. High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":38,""stock"":50},{""weight"":""1 kg"",""price"":69,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":131,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":317,""stock"":20}]"
"Apple Royal Gala","Fruits",298,373,"1 Kg",100,"https://cdn.SubziQuick Bulk Procure.com/item-images/6c28e667-2d96-4f41-92d6-fdf80ff432ff_large.jpg","Fresh SubziQuick Farm Wholesale farm produce: Apple Royal Gala. High nutrition, naturally ripe, sourced direct from wholesale farm partners.","Direct SubziQuick Farm Wholesale Partner (SubziQuick Bulk Procure.com)","Store in cool dry basket","[{""weight"":""500g"",""price"":164,""stock"":50},{""weight"":""1 kg"",""price"":298,""stock"":60},{""weight"":""2 kg (Bulk Farm Direct Saver)"",""price"":566,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":1371,""stock"":20}]"
