name,category,price,unit,stock,image,description,sourcing,storage,variations
"Amul Malai Paneer","Dairy & Staples",90,"250g",60,"https://cdn2.clevup.in/252374/SKU-0501_0-1759401220736.png?format=webp","Discover the Rich Creaminess of Amul Malai Paneer - 200gWelcome to E - VEGETABLE BAZAAR, your trusted source for fresh, high-quality products! Introducing Amul Malai Paneer, a premium dairy delight that adds a rich and creamy texture to your favorite recipes. Crafted with the finest ingredients, thi","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""200g"",""price"":85,""stock"":40},{""weight"":""500g"",""price"":195,""stock"":50},{""weight"":""1 kg"",""price"":380,""stock"":30}]"
"Basmati Rice","Dairy & Staples",95,"1 kg",50,"https://images.unsplash.com/photo-1586201375761-83865001e8ac?auto=format&fit=crop&q=80&w=400","","","","[{""weight"":""1 kg"",""price"":95,""stock"":50},{""weight"":""5 kg"",""price"":460,""stock"":30},{""weight"":""10 kg"",""price"":899,""stock"":20}]"
"Buffalo Desi Ghee (देसी घी (भैंस))","Dairy & Staples",749,"1 Litre",80,"https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?auto=format&fit=crop&w=600&q=80","100% farm-fresh Buffalo Desi Ghee (देसी घी (भैंस)) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""500 ml"",""price"":390,""stock"":30},{""weight"":""1 Litre"",""price"":749,""stock"":40},{""weight"":""2 Litre"",""price"":1450,""stock"":20},{""weight"":""5 Litre"",""price"":3600,""stock"":10}]"
"Cow Deshi Ghee (देशी घी (गाय))","Dairy & Staples",849,"1 Litre",80,"https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?auto=format&fit=crop&w=600&q=80","100% farm-fresh Cow Deshi Ghee (देशी घी (गाय)) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""500 ml"",""price"":440,""stock"":30},{""weight"":""1 Litre"",""price"":849,""stock"":40},{""weight"":""2 Litre"",""price"":1650,""stock"":20},{""weight"":""5 Litre"",""price"":4100,""stock"":10}]"
"Mawa / khoya (मावा / खोया )","Dairy & Staples",170,"500g",80,"https://images.unsplash.com/photo-1550583724-b2692b85b150?auto=format&fit=crop&w=600&q=80","100% farm-fresh Mawa / khoya (मावा / खोया ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":90,""stock"":30},{""weight"":""500g"",""price"":170,""stock"":40},{""weight"":""1 kg"",""price"":330,""stock"":20}]"
"Paneer (पनीर )","Dairy & Staples",90,"250g",80,"https://cdn2.clevup.in/252374/SKU-0500_0-1757333584871.png?format=webp","Paneer Loose 250g
Fresh, soft, and creamy paneer – perfect for all your favorite Indian dishes. Made from pure milk, our paneer is rich in protein and calcium, making it a healthy choice for your family. Ideal for curries, snacks, and gravies, this paneer stays fresh and delicious when cooked.✅ 100%","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""200g"",""price"":85,""stock"":40},{""weight"":""500g"",""price"":195,""stock"":50},{""weight"":""1 kg"",""price"":380,""stock"":30}]"
"Shreedhi Dahi Fresh Curd – Buy Online in Bhopal","Dairy & Staples",40,"400g",60,"https://cdn2.clevup.in/252374/SKU-0639_0-1776917432122.png?format=webp","Buy fresh Shreedhi Dahi 450g in Bhopal. Thick, creamy and perfect for daily meals. Same-day home delivery by E Vegetable Bazaar. Order now!","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""200g"",""price"":22,""stock"":35},{""weight"":""400g"",""price"":40,""stock"":45},{""weight"":""1 kg"",""price"":95,""stock"":25}]"
"Whole Wheat Atta","Dairy & Staples",240,"5 kg",50,"https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&q=80&w=400","","","","[{""weight"":""1 kg"",""price"":50,""stock"":50},{""weight"":""5 kg"",""price"":240,""stock"":40},{""weight"":""10 kg"",""price"":470,""stock"":25}]"
"Baby Corn (बेबी कॉर्न)","Exotics",45,"200g Pack",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Baby Corn (बेबी कॉर्न) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""200g Pack"",""price"":45,""stock"":35},{""weight"":""400g (2 Packs)"",""price"":85,""stock"":25}]"
"Broccoli (ब्रोकॉली)","Exotics",120,"500g",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Broccoli (ब्रोकॉली) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":65,""stock"":30},{""weight"":""500g"",""price"":120,""stock"":40},{""weight"":""1 kg"",""price"":230,""stock"":25}]"
"Frozen Sweet Corn","Exotics",40,"2 Pcs / 400g",60,"https://cdn2.clevup.in/252374/SKU-0502_0-1757469518405.png?format=webp","Discover the Perfect Addition to Your Meals: Frozen Sweet CornWelcome to E - VEGETABLE BAZAAR, your trusted destination for fresh and convenient produce! Say hello to our Frozen Sweet Corn, the ultimate kitchen companion for those who crave vibrant flavors and effortless cooking.Carefully selected a","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""2 Pcs / 250g"",""price"":40,""stock"":40},{""weight"":""500g Pack"",""price"":75,""stock"":35},{""weight"":""1 kg"",""price"":140,""stock"":20}]"
"Green Zucchini (Zucchini)","Exotics",80,"500g",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Green Zucchini (Zucchini) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":45,""stock"":30},{""weight"":""500g"",""price"":80,""stock"":40},{""weight"":""1 kg"",""price"":150,""stock"":25}]"
"Mix sprouts (moong- chana) (अंकरित (मुंग -चना)-100 gm)","Exotics",30,"200g Pack",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Mix sprouts (moong- chana) (अंकरित (मुंग -चना)-100 gm) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""200g Pack"",""price"":30,""stock"":35},{""weight"":""400g Pack"",""price"":55,""stock"":25}]"
"Mushroom (मशरूम)","Exotics",55,"200g Pack",80,"https://images.unsplash.com/photo-1504544750208-dc0358e63f7f?auto=format&fit=crop&w=600&q=80","100% farm-fresh Mushroom (मशरूम) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""200g Pack"",""price"":55,""stock"":40},{""weight"":""400g (2 Packs)"",""price"":105,""stock"":30},{""weight"":""1 kg"",""price"":250,""stock"":15}]"
"Red Capsicum (लाल शिमला मिर्च)","Exotics",110,"500g",80,"https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?auto=format&fit=crop&w=600&q=80","100% farm-fresh Red Capsicum (लाल शिमला मिर्च) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":60,""stock"":25},{""weight"":""500g"",""price"":110,""stock"":35},{""weight"":""1 kg"",""price"":210,""stock"":20}]"
"Sweet Corn (स्वीट कॉर्न)","Exotics",40,"2 Pcs / 400g",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Sweet Corn (स्वीट कॉर्न) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""2 Pcs / 250g"",""price"":40,""stock"":40},{""weight"":""500g Pack"",""price"":75,""stock"":35},{""weight"":""1 kg"",""price"":140,""stock"":20}]"
"Yellow Capsicum (पीली शिमला मिर्च)","Exotics",110,"500g",80,"https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?auto=format&fit=crop&w=600&q=80","100% farm-fresh Yellow Capsicum (पीली शिमला मिर्च) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":60,""stock"":25},{""weight"":""500g"",""price"":110,""stock"":35},{""weight"":""1 kg"",""price"":210,""stock"":20}]"
"Yellow Zucchini (Zucchini)","Exotics",80,"500g",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Yellow Zucchini (Zucchini) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":45,""stock"":30},{""weight"":""500g"",""price"":80,""stock"":40},{""weight"":""1 kg"",""price"":150,""stock"":25}]"
