name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Custard Apple","Fruits",180,325,"500gm",100,"https://cdn.shopify.com/s/files/1/0551/4133/5088/products/CustardAppleGolden.jpg?v=1641812079","Premium farm-fresh Custard Apple. Naturally grown, handpicked, sanitized and packed under hygienic standards for optimal freshness and taste.","Farm Fresh Direct Sourcing (FPS Partner Network)","Store in cool, dry place","[{""weight"":""500gm"",""price"":180,""stock"":50},{""weight"":""1kg"",""price"":360,""stock"":50},{""weight"":""2kg"",""price"":720,""stock"":50}]"
"Apple Chilli","Fruits",275,275,"1kg",100,"https://cdn.shopify.com/s/files/1/0551/4133/5088/products/chilli.jpg?v=1641469403","Premium farm-fresh Apple Chilli. Naturally grown, handpicked, sanitized and packed under hygienic standards for optimal freshness and taste.","Farm Fresh Direct Sourcing (FPS Partner Network)","Store in cool, dry place","[{""weight"":""1kg"",""price"":275,""stock"":50}]"
"Anaar Indian","Fruits",245,163,"500gm",100,"https://cdn.shopify.com/s/files/1/0551/4133/5088/products/AnaarIndian.jpg?v=1641293910","Premium farm-fresh Anaar Indian. Naturally grown, handpicked, sanitized and packed under hygienic standards for optimal freshness and taste.","Farm Fresh Direct Sourcing (FPS Partner Network)","Store in cool, dry place","[{""weight"":""500gm"",""price"":245,""stock"":50},{""weight"":""1kg"",""price"":490,""stock"":50},{""weight"":""2kg"",""price"":980,""stock"":50}]"
"Guava (amrood) Red","Fruits",160,90,"500gm",100,"https://cdn.shopify.com/s/files/1/0551/4133/5088/products/Guava_amrood_Red.jpg?v=1641980685","Premium farm-fresh Guava (amrood) Red. Naturally grown, handpicked, sanitized and packed under hygienic standards for optimal freshness and taste.","Farm Fresh Direct Sourcing (FPS Partner Network)","Store in cool, dry place","[{""weight"":""500gm"",""price"":160,""stock"":50},{""weight"":""1kg"",""price"":320,""stock"":50},{""weight"":""2kg"",""price"":640,""stock"":50}]"
"Nakh Kashmiri","Fruits",105,195,"500gm",100,"https://cdn.shopify.com/s/files/1/0551/4133/5088/products/30001461-3_1-fresho-pear-nakh-indian_1.jpg?v=1642238327","Premium farm-fresh Nakh Kashmiri. Naturally grown, handpicked, sanitized and packed under hygienic standards for optimal freshness and taste.","Farm Fresh Direct Sourcing (FPS Partner Network)","Store in cool, dry place","[{""weight"":""500gm"",""price"":105,""stock"":50}]"
"Muscat Grapes Imported","Fruits",174,138,"250gm",100,"https://cdn.shopify.com/s/files/1/0551/4133/5088/files/download.jpg?v=1760357260","Premium farm-fresh Muscat Grapes Imported. Naturally grown, handpicked, sanitized and packed under hygienic standards for optimal freshness and taste.","Farm Fresh Direct Sourcing (FPS Partner Network)","Store in cool, dry place","[{""weight"":""250gm"",""price"":174,""stock"":50},{""weight"":""500Gm"",""price"":348,""stock"":50},{""weight"":""1Kg"",""price"":695,""stock"":50}]"
"Lobhiya","Vegetables",38,18,"250g",100,"https://cdn.shopify.com/s/files/1/0551/4133/5088/products/lobhiya-1-1024x1024_1.jpg?v=1642153960","Premium farm-fresh Lobhiya. Naturally grown, handpicked, sanitized and packed under hygienic standards for optimal freshness and taste.","Farm Fresh Direct Sourcing (FPS Partner Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":38,""stock"":50},{""weight"":""500gm"",""price"":75,""stock"":50},{""weight"":""1kg"",""price"":150,""stock"":50}]"
"Mango Chausa","Fruits",195,70,"500gm",100,"https://cdn.shopify.com/s/files/1/0551/4133/5088/products/mango-chaunsa-634603_1.jpg?v=1642156122","The Chausa is one of the sweetest mangoes , originally from Varanasi, grown in North India. Chausa has bright yellow skin and sweet pulp. About With a golden yellow color, these soft, almost fibreless mangoes have an aromatic pleasant sweet flavour. ...","Farm Fresh Direct Sourcing (FPS Partner Network)","Store in cool, dry place","[{""weight"":""500gm"",""price"":195,""stock"":50},{""weight"":""1kg"",""price"":390,""stock"":50},{""weight"":""2kg"",""price"":720,""stock"":50}]"
"Rockit Apple","Fruits",295,369,"1 kg",100,"https://cdn.shopify.com/s/files/1/0551/4133/5088/files/rocketapple.webp?v=1764920398","Premium farm-fresh Rockit Apple. Naturally grown, handpicked, sanitized and packed under hygienic standards for optimal freshness and taste.","Farm Fresh Direct Sourcing (FPS Partner Network)","Store in cool, dry place","[{""weight"":""1 kg"",""price"":295,""stock"":50}]"
"Keggs Brown Eggs 6pc","Vegetables",150,140,"1 kg",100,"https://cdn.shopify.com/s/files/1/0551/4133/5088/files/KEGGS.jpg?v=1781764986","Premium farm-fresh Keggs Brown Eggs 6pc. Naturally grown, handpicked, sanitized and packed under hygienic standards for optimal freshness and taste.","Farm Fresh Direct Sourcing (FPS Partner Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":150,""stock"":50}]"
