name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Peeled & Cut Bottle Gourd (Lauki) 250gm","Ready-to-Cook & Cut Produce",99,124,"1 kg",100,"https://dukaan.b-cdn.net/700x700/webp/media/4d5a26e9-6698-4af0-b69b-e61941b1ca56.jpg","Introducing our Peeled & Cut Bottle Gourd (Lauki) – the perfect time-saver for health enthusiasts and culinary adventurers alike! This versatile vegetable, known for its mild flavor and impressive health benefits, comes prepared and ready to cook. Whether you're whipping up a nutritious curry, a refreshing salad, or a comforting soup, our prepped Lauki allows you to focus on what you love most – creating delicious meals without the hassle of peeling and cutting. Enjoy the convenience of fresh, high-quality bottle gourd that’s rich in vitamins and minerals, making it a fantastic addition to your diet. - 🌱 Freshly peeled and cut for ultimate convenience - 🥗 Low-calorie veggie perfect for weight management - 💧 Hydrating and packed with essential nutrients - 🥘 Ideal for a variety of dishes from soups to stir-fries Transform your cooking experience with our Peeled & Cut Bottle Gourd today!","Direct Farm to Doorstep (KisaanRiksha Partner Sourced)","Store in cool dry place","[{""weight"":""1 kg"",""price"":99,""stock"":50}]"
"Cleaned Cauliflower Florets / Phool Gobhi (250g)","Ready-to-Cook & Cut Produce",99,124,"250gm",100,"https://dukaan.b-cdn.net/700x700/webp/media/56f00bb6-c93d-488e-a4cc-457d8dc5410a.jpg","Experience the freshness and convenience of our Cleaned Cauliflower Florets, also known as Phool Gobhi, packaged in a generous 250g. Perfectly washed and cut to save you time in the kitchen, these vibrant florets are not only a nutritious powerhouse but also incredibly versatile. Whether you're roasting them for a hearty side dish, adding them to soups, or creating a wholesome stir-fry, our cleaned cauliflower florets ensure you can whip up delicious meals in no time. Embrace healthy eating with this delightful vegetable option that's as good for your taste buds as it is for your wellbeing!🌿 Freshly cleaned and ready to cook 🥦 Nutritious and low-calorie, high in vitamins ✨ Versatile for various dishes, perfect for any cuisine 🍽️ Ideal for healthy kick-starts to your meals 💚 Convenient packaging for easy storage and use","Direct Farm to Doorstep (KisaanRiksha Partner Sourced)","Store in cool dry place","[{""weight"":""250gm"",""price"":99,""stock"":50}]"
"Cut Carrot & French Beans Mix (200g)","Ready-to-Cook & Cut Produce",60,75,"200gm",100,"https://dukaan.b-cdn.net/700x700/webp/media/c76b1538-9d86-4e14-b7c6-00a818c657ce.jpg","Elevate your meals with our Cut Carrot & French Beans Mix, a vibrant and nutritious blend designed to bring flavor and freshness to your dishes. This convenient 200g package features perfectly cut carrots and crisp French beans, ensuring that you spend less time preparing and more time enjoying your culinary creations. Packed with essential vitamins and minerals, this mix is perfect for stir-fries, salads, and as a colorful side to your favorite entrees. Make every meal a celebration of taste and health with this delightful vegetable mix!- 🥕 **Nutritious Blend:** Get a boost of vitamins A and C from fresh carrots and iron from French beans. - 🌱 **Convenient Preparation:** Pre-cut for ease, making meal prep quick and hassle-free. - 🍽️ **Versatile Usage:** Ideal for stir-fries, salads, and steaming—perfect for any cuisine type. - 🍃 **Freshness Guaranteed:** Packed with care to ensure you receive the crunch and flavor of farm-fresh vegetables. - 🥗 **Healthy Eating Made Easy:** Add a pop of color and nutrition to your daily meals effortlessly!","Direct Farm to Doorstep (KisaanRiksha Partner Sourced)","Store in cool dry place","[{""weight"":""200gm"",""price"":60,""stock"":50}]"
"Chopped Fresh Lady Finger / Bhindi (250g)/500g","Ready-to-Cook & Cut Produce",60,75,"250gm",100,"https://dukaan.b-cdn.net/700x700/webp/media/d8ba0103-f01c-4c56-aa05-0945d1393b89.jpg","Introducing our Chopped Fresh Lady Finger (Bhindi) - a vibrant and versatile vegetable that brings both flavor and nutrition to your kitchen. Handpicked and skillfully chopped, our lady fingers retain their natural crunch and delightful taste, making them the perfect addition to your meals. Packed with essential vitamins and minerals, they are an easy and convenient way to elevate your dishes, whether you're whipping up a traditional curry or tossing them into a stir-fry. Enjoy the freshness and quality of our Bhindi, available in both 250g and 500g packs.- 🌿 Freshly chopped for your convenience - 🥗 Rich in vitamins A, C, and K - 🍽️ Perfect for curries, stir-fries, and salads - 🌱 Low in calories and high in fiber - 🛒 Available in 250g and 500g packs","Direct Farm to Doorstep (KisaanRiksha Partner Sourced)","Store in cool dry place","[{""weight"":""250gm"",""price"":60,""stock"":50},{""weight"":""500gm"",""price"":99,""stock"":50}]"
"Ready-to-Cook Mixed Veg","Vegetables",60,75,"250gm",100,"https://dukaan.b-cdn.net/700x700/webp/media/bd425bfc-a9b0-43c9-a32b-48850d557cfb.jpg","Transform your mealtime experience with our Ready-to-Cook Mixed Veg, a delightful medley of fresh, pre-prepared vegetables that are perfect for busy individuals and families alike! Each pack is filled with a vibrant assortment of farm-fresh produce, hand-selected to ensure the highest quality and flavor. Whether you're whipping up a hearty stir-fry, a zesty salad, or a comforting soup, our mixed veg takes the hassle out of preparation while delivering essential nutrients to your table. Just heat, add your favorite seasonings, and savor the delicious taste of wholesome goodness!- 🌽 Freshly sourced vegetables for superior taste and quality- 🥦 Perfectly cut and ready to cook, saving you valuable prep time- 🌶️ Versatile addition to any meal, from stir-fries to stews- 🥕 Packed with vitamins and nutrients to fuel your day- 🥬 Convenient packaging for easy storage and quick accessBring the joy of home cooking back into your routine with our Ready-to-Cook Mixed Veg!","Direct Farm to Doorstep (KisaanRiksha Partner Sourced)","Keep refrigerated in mesh bag","[{""weight"":""250gm"",""price"":60,""stock"":50},{""weight"":""500gm"",""price"":99,""stock"":50}]"
"Brinjal- big Purple/baigan -बैगन","Vegetables",66,83,"1kh",100,"https://dukaan.b-cdn.net/700x700/webp/media/ce549946-7ec1-4020-ad6e-8ace837c2734.png","bharta Brinjal- big Purple/baigan -बैगन","Direct Farm to Doorstep (KisaanRiksha Partner Sourced)","Keep refrigerated in mesh bag","[{""weight"":""1kh"",""price"":66,""stock"":50},{""weight"":""500gm"",""price"":38,""stock"":50}]"
"Banana केला per kg","Fruits",52,65,"1kg",100,"https://dukaan.b-cdn.net/700x700/webp/media/3957f7d4-7330-4499-95e9-d68daf3df7f0.jpg","1kg","Direct Farm to Doorstep (KisaanRiksha Partner Sourced)","Store in cool dry place","[{""weight"":""1kg"",""price"":52,""stock"":50}]"
"Less Sugar potato 5kg","Vegetables",350,438,"1 kg",100,"https://dukaan.b-cdn.net/700x700/webp/media/fb2d7e8d-4057-47eb-a2e1-8d16b411fd22.jpg","Farm fresh Less Sugar potato 5kg sourced directly from verified farmers. Cleaned, sorted and hygienically packed for your kitchen.","Direct Farm to Doorstep (KisaanRiksha Partner Sourced)","Keep refrigerated in mesh bag","[{""weight"":""1 kg"",""price"":350,""stock"":50}]"
"Frozen Corn 🌽 American","Exotics",110,138,"1 kg",100,"https://dukaan.b-cdn.net/700x700/webp/media/62b786ec-fd0b-487d-88db-5b0fed62a8e5.jpeg","Farm fresh Frozen Corn 🌽 American sourced directly from verified farmers. Cleaned, sorted and hygienically packed for your kitchen.","Direct Farm to Doorstep (KisaanRiksha Partner Sourced)","Store in cool dry place","[{""weight"":""1 kg"",""price"":110,""stock"":50}]"
"Banana Crates केले के क्रेट","Fruits",700,875,"1 kg",100,"https://dukaan.b-cdn.net/700x700/webp/images/84e102a6-29cc-4df2-90a4-8439c1df969b.jpg","wholesale sale rate par karod mandi se kam se kam 50 rs kam me aoke outlet par deliver","Direct Farm to Doorstep (KisaanRiksha Partner Sourced)","Store in cool dry place","[{""weight"":""1 kg"",""price"":700,""stock"":50}]"
