name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Oyster Mushrooms","Exotics",72,92,"100g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/oyster-mushrooms-beybey-farms.png?v=1788350613","Fresh Oyster Mushrooms Grown Clean. Picked Fresh. Packed with Nutrition. Soft, delicate, and incredibly flavourful — these Fresh Oyster Mushrooms are grown in a controlled environment without pesticides. Perfect for stir-fries, soups, pasta or as a c...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Certified Harvest)","Store in a cool dry fruit basket at room temperature","[{""weight"":""100g Pack"",""price"":72,""stock"":50},{""weight"":""200g (Twin Pack)"",""price"":137,""stock"":40},{""weight"":""500g (Chef Pack)"",""price"":324,""stock"":25}]"
"Lettuce Leaves","Exotics",64,82,"200g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/lettuce-clean.png?v=1787584425","Locarno Lettuce ( Grown) – Fresh Hydroponic Lettuce Leaves in Bhopal Harvested fresh. Not stored for days. Fresh Locarno lettuce leaves grown hydroponically at in Bhopal. Crisp texture, clean handling, and consistent freshness—read...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Certified Harvest)","Store in a cool dry fruit basket at room temperature","[{""weight"":""250g Pack"",""price"":20,""stock"":40},{""weight"":""500g Pack"",""price"":35,""stock"":50},{""weight"":""1 kg Pack"",""price"":64,""stock"":60}]"
"Baby Eggplant (Small Brinjal)","Vegetables",40,51,"250g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/baby_eggplant_beybey_farms.png?v=1777704972","Baby Eggplant (Small Brinjal) ( Grown) – Fresh Brinjal in Bhopal Harvested fresh. Not stored for days. Fresh baby eggplant grown at in Bhopal. Small, tender, and consistent—ideal for stuffed dishes and everyday cooking. Small size....","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Certified Harvest)","Keep refrigerated in vegetable crisper / airtight mesh bag","[{""weight"":""250g Pack"",""price"":40,""stock"":50},{""weight"":""500g (Twin Pack)"",""price"":76,""stock"":40},{""weight"":""1 kg (Family Pack)"",""price"":148,""stock"":30}]"
"Raspberries","Fruits",220,282,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/raspberries-clean.png?v=1787584315","Fresh Raspberries — plump, jewel-red and delicately sweet-tart. Hand-sorted and delivered fresh in a 125 g box by in Bhopal. Sourced fresh and handled gently to protect every berry Packed as a 125 g punnet Rich in vitamin C, fibre and an...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Certified Harvest)","Store in a cool dry fruit basket at room temperature","[{""weight"":""250g"",""price"":66,""stock"":50},{""weight"":""500g"",""price"":121,""stock"":60},{""weight"":""1 kg"",""price"":220,""stock"":80},{""weight"":""2 kg (Bulk Saver)"",""price"":418,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":1012,""stock"":25}]"
"Residue-Free Broccoli","Exotics",149,191,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/residue-free-broccoli-clean.png?v=1787584465","Residue-Free Broccoli ( Trusted) – Fresh Broccoli in Bhopal Selected from farms we trust. Not blindly sourced. Fresh broccoli sourced from partner farms we’ve personally vetted. Clean handling, consistent quality, and chosen to meet our standar...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Certified Harvest)","Store in a cool dry fruit basket at room temperature","[{""weight"":""250g Pack"",""price"":45,""stock"":40},{""weight"":""500g Pack"",""price"":82,""stock"":50},{""weight"":""1 kg Pack"",""price"":149,""stock"":60}]"
"Ragi Atta","Dairy & Staples",100,128,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/ragi-atta-fixed.png?v=1787586197","Ragi Atta (Finger Millet Flour) Premium Ragi Atta (Finger Millet Flour) , made from carefully sourced ragi grains and milled to a consistent texture. Clean, unpolished flour suitable for everyday cooking and traditional preparations. Buy Ragi Atta On...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Certified Harvest)","Store in cool dry place or refrigerate dairy items below 4°C","[{""weight"":""500g Pack"",""price"":55,""stock"":50},{""weight"":""1 kg Pack"",""price"":100,""stock"":60},{""weight"":""2 kg Value Pack"",""price"":190,""stock"":40}]"
"Arvi (Colocasia)","Vegetables",45,58,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/arvi-colocasia-fixed.png?v=1787586518","Arvi (Colocasia) ( Daily) – Cleaned & Fresh Arvi in Bhopal Sourced daily. Cleaned before delivery. Fresh arvi sourced from the mandi and handled at . Selected for quality, sorted properly, and cleaned before reaching you—ready for e...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Certified Harvest)","Keep refrigerated in vegetable crisper / airtight mesh bag","[{""weight"":""250g"",""price"":14,""stock"":50},{""weight"":""500g"",""price"":25,""stock"":60},{""weight"":""1 kg"",""price"":45,""stock"":80},{""weight"":""2 kg (Bulk Saver)"",""price"":86,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":207,""stock"":25}]"
"Pomegranate (Anar)","Fruits",190,243,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/pomegranate-anar-clean.png?v=1787584321","Organic Pomegranate: Nature's Superfruit Organic pomegranates are nature's ruby jewels, grown without the use of harmful pesticides or synthetic fertilizers. Packed with antioxidants, vitamins, and minerals, they are not only delicious but also a pow...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Certified Harvest)","Store in a cool dry fruit basket at room temperature","[{""weight"":""250g"",""price"":57,""stock"":50},{""weight"":""500g"",""price"":105,""stock"":60},{""weight"":""1 kg"",""price"":190,""stock"":80},{""weight"":""2 kg (Bulk Saver)"",""price"":361,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":874,""stock"":25}]"
"Mausambi","Fruits",160,205,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/mausambi-clean.png?v=1787584435","Mausambi (Sweet Lime) ( Trusted) – Fresh Mausambi in Bhopal Selected from farms we trust. Not blindly sourced. Fresh mausambi sourced from partner farms we’ve personally vetted. Known for its mild sweetness and juice content—selected for consis...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Certified Harvest)","Store in a cool dry fruit basket at room temperature","[{""weight"":""250g"",""price"":48,""stock"":50},{""weight"":""500g"",""price"":88,""stock"":60},{""weight"":""1 kg"",""price"":160,""stock"":80},{""weight"":""2 kg (Bulk Saver)"",""price"":304,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":736,""stock"":25}]"
"Pears","Fruits",360,461,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/pears-clean.png?v=1787584341","Fresh Green Pears (Nashpati) — crisp, juicy and naturally sweet. Hand-picked from trusted orchards and ozone-washed at , then delivered fresh to your door in Bhopal. Sourced from trusted, residue-free orchards Ozone-washed & carefully han...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Certified Harvest)","Store in a cool dry fruit basket at room temperature","[{""weight"":""250g"",""price"":108,""stock"":50},{""weight"":""500g"",""price"":198,""stock"":60},{""weight"":""1 kg"",""price"":360,""stock"":80},{""weight"":""2 kg (Bulk Saver)"",""price"":684,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":1656,""stock"":25}]"
