name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Oyster Mushrooms","Exotics",72,90,"100g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/oyster-mushrooms-beybey-farms.png?v=1788350613","Fresh Oyster Mushrooms Grown Clean. Picked Fresh. Packed with Nutrition. Soft, delicate, and incredibly flavourful — these Fresh Oyster Mushrooms are grown in a controlled environment without pesticides. Perfect for stir-fries, soups, pasta or as a c...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Network)","Store at room temperature","[{""weight"":""100g Pack"",""price"":72,""stock"":50},{""weight"":""200g (Twin Pack)"",""price"":137,""stock"":40},{""weight"":""500g (Chef Pack)"",""price"":324,""stock"":25}]"
"Lettuce Leaves","Exotics",64,83,"200g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/lettuce-clean.png?v=1787584425","Locarno Lettuce (MyGreenDelight Grown) – Fresh Hydroponic Lettuce Leaves in Bhopal Harvested fresh. Not stored for days. Fresh Locarno lettuce leaves grown hydroponically at MyGreenDelight in Bhopal. Crisp texture, clean handling, and consistent freshness—read...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Network)","Store at room temperature","[{""weight"":""250g"",""price"":20,""stock"":40},{""weight"":""500g"",""price"":35,""stock"":50},{""weight"":""1 kg"",""price"":64,""stock"":60}]"
"Baby Eggplant (Small Brinjal)","Exotics",40,50,"250g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/baby_eggplant_beybey_farms.png?v=1777704972","Baby Eggplant (Small Brinjal) (MyGreenDelight Grown) – Fresh Brinjal in Bhopal Harvested fresh. Not stored for days. Fresh baby eggplant grown at MyGreenDelight in Bhopal. Small, tender, and consistent—ideal for stuffed dishes and everyday cooking. Small size....","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Network)","Store at room temperature","[{""weight"":""250g"",""price"":20,""stock"":40},{""weight"":""500g"",""price"":35,""stock"":50},{""weight"":""1 kg"",""price"":40,""stock"":60}]"
"Raspberries","Fruits",625,781,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/raspberries-clean.png?v=1787584315","Fresh Raspberries — plump, jewel-red and delicately sweet-tart. Hand-sorted and delivered fresh in a 125 g box by MyGreenDelight in Bhopal. Sourced fresh and handled gently to protect every berry Packed as a 125 g punnet Rich in vitamin C, fibre and an...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Network)","Store at room temperature","[{""weight"":""250g"",""price"":188,""stock"":40},{""weight"":""500g"",""price"":344,""stock"":50},{""weight"":""1 kg"",""price"":625,""stock"":60}]"
"Residue-Free Broccoli","Exotics",149,186,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/residue-free-broccoli-clean.png?v=1787584465","Residue-Free Broccoli (MyGreenDelight Trusted) – Fresh Broccoli in Bhopal Selected from farms we trust. Not blindly sourced. Fresh broccoli sourced from partner farms we’ve personally vetted. Clean handling, consistent quality, and chosen to meet our standar...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Network)","Store at room temperature","[{""weight"":""250g"",""price"":45,""stock"":40},{""weight"":""500g"",""price"":82,""stock"":50},{""weight"":""1 kg"",""price"":149,""stock"":60}]"
"Ragi Atta","Dairy & Staples",100,105,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/ragi-atta-fixed.png?v=1787586197","Ragi Atta (Finger Millet Flour) Premium Ragi Atta (Finger Millet Flour) , made from carefully sourced ragi grains and milled to a consistent texture. Clean, unpolished flour suitable for everyday cooking and traditional preparations. Buy Ragi Atta On...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":30,""stock"":50},{""weight"":""500g"",""price"":55,""stock"":60},{""weight"":""1 kg"",""price"":100,""stock"":80},{""weight"":""2 kg (Bulk Saver)"",""price"":190,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":460,""stock"":25}]"
"Arvi (Colocasia)","Vegetables",45,56,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/arvi-colocasia-fixed.png?v=1787586518","Arvi (Colocasia) (MyGreenDelight Daily) – Cleaned & Fresh Arvi in Bhopal Sourced daily. Cleaned before delivery. Fresh arvi sourced from the mandi and handled at MyGreenDelight. Selected for quality, sorted properly, and cleaned before reaching you—ready for e...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":14,""stock"":50},{""weight"":""500g"",""price"":25,""stock"":60},{""weight"":""1 kg"",""price"":45,""stock"":80},{""weight"":""2 kg (Bulk Saver)"",""price"":86,""stock"":40},{""weight"":""5 kg (Society Sack)"",""price"":207,""stock"":25}]"
"Pomegranate (Anar)","Fruits",186,238,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/pomegranate-anar-clean.png?v=1787584321","Organic Pomegranate: Nature's Superfruit Organic pomegranates are nature's ruby jewels, grown without the use of harmful pesticides or synthetic fertilizers. Packed with antioxidants, vitamins, and minerals, they are not only delicious but also a pow...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Network)","Store at room temperature","[{""weight"":""250g"",""price"":56,""stock"":40},{""weight"":""500g"",""price"":102,""stock"":50},{""weight"":""1 kg"",""price"":186,""stock"":60}]"
"Mausambi","Fruits",160,200,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/mausambi-clean.png?v=1787584435","Mausambi (Sweet Lime) (MyGreenDelight Trusted) – Fresh Mausambi in Bhopal Selected from farms we trust. Not blindly sourced. Fresh mausambi sourced from partner farms we’ve personally vetted. Known for its mild sweetness and juice content—selected for consis...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":48,""stock"":40},{""weight"":""500g"",""price"":88,""stock"":50},{""weight"":""1 kg"",""price"":160,""stock"":60}]"
"Pears","Fruits",360,450,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/pears-clean.png?v=1787584341","Fresh Green Pears (Nashpati) — crisp, juicy and naturally sweet. Hand-picked from trusted orchards and ozone-washed at MyGreenDelight, then delivered fresh to your door in Bhopal. Sourced from trusted, residue-free orchards Ozone-washed & carefully han...","Direct Bhopal Contract Farms & Karond Krishi Mandi (MyGreenDelight Network)","Store at room temperature","[{""weight"":""250g"",""price"":108,""stock"":40},{""weight"":""500g"",""price"":198,""stock"":50},{""weight"":""1 kg"",""price"":360,""stock"":60}]"
