name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Lettuce Online in Pune | Fresh &amp; Organic Lettuce Near Me","Exotics",60,75,"0.5 kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/buy-lettuce-online-pune.png","Fresh farm harvested Lettuce Online in Pune | Fresh &amp; Organic Lettuce Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""0.5 kg"",""price"":60,""stock"":50}]"
"Cherry Tomato Online in Pune | Organic Cherry Tomatoes Near Me","Exotics",50,63,"0.5 kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/cherry-tomato-online-order.png","Fresh farm harvested Cherry Tomato Online in Pune | Organic Cherry Tomatoes Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""0.5 kg"",""price"":50,""stock"":50}]"
"Mint","Vegetables",20,25,"0.5 kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/buy-mint-online.png","Fresh farm harvested Mint. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""0.5 kg"",""price"":20,""stock"":50}]"
"Ginger","Vegetables",75,94,"750-gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/ginger-online-delivery.png","Fresh farm harvested Ginger. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""750-gm"",""price"":75,""stock"":50},{""weight"":""500gm"",""price"":50,""stock"":50},{""weight"":""250gm"",""price"":30,""stock"":50},{""weight"":""1kg"",""price"":100,""stock"":50}]"
"Cucumber","Vegetables",80,100,"1kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/buy-cucumber-online.png","Fresh farm harvested Cucumber. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""1kg"",""price"":80,""stock"":50}]"
"Fresh Red Capsicum Online Pune | Order Yellow Bell Pepper","Vegetables",80,100,"0.5 kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/bell-pepper-online.png","Fresh farm harvested Fresh Red Capsicum Online Pune | Order Yellow Bell Pepper. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""0.5 kg"",""price"":80,""stock"":50}]"
"Dobali Mirchi / Shimla Mirchi","Vegetables",60,75,"500gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/buy-green-capsicum-online.webp","Fresh farm harvested Dobali Mirchi / Shimla Mirchi. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""500gm"",""price"":60,""stock"":50},{""weight"":""750-gm"",""price"":90,""stock"":50},{""weight"":""250gm"",""price"":30,""stock"":50},{""weight"":""1kg"",""price"":100,""stock"":50}]"
"Cabbage Online in Pune | Order Fresh Patta Gobhi Near Me","Vegetables",40,50,"1 kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/best-organic-cabbage-pune.webp","Fresh farm harvested Cabbage Online in Pune | Order Fresh Patta Gobhi Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""1 kg"",""price"":40,""stock"":50}]"
"Onion","Vegetables",60,75,"2kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/red-online-online.png","Fresh farm harvested Onion. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""2kg"",""price"":60,""stock"":50},{""weight"":""5kg"",""price"":140,""stock"":50},{""weight"":""1kg"",""price"":30,""stock"":50}]"
"Zucchini Online in Pune | Fresh &amp; Organic Zucchini Near Me","Exotics",60,75,"500gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/zucchini-online-order.png","Fresh farm harvested Zucchini Online in Pune | Fresh &amp; Organic Zucchini Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""500gm"",""price"":60,""stock"":50},{""weight"":""750-gm"",""price"":90,""stock"":50},{""weight"":""250gm"",""price"":30,""stock"":50},{""weight"":""1kg"",""price"":120,""stock"":50}]"
"Fresh Potatoes Online in Pune | Order Aloo &amp; Batata Near Me","Vegetables",80,100,"2kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/buy-fresh-potatoes-online.webp","Fresh farm harvested Fresh Potatoes Online in Pune | Order Aloo &amp; Batata Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""2kg"",""price"":80,""stock"":50},{""weight"":""1kg"",""price"":40,""stock"":50}]"
"Walnuts Online in Pune | Fresh Akhrot &amp; Dry Walnuts Near Me","Vegetables",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/Buy-Walnuts-Online-in-Pune.png","Fresh farm harvested Walnuts Online in Pune | Fresh Akhrot &amp; Dry Walnuts Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Almonds Online in Pune | Order Fresh Raw Badam Near Me","Vegetables",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/Buy-Almonds-Online-in-Pune.png","Fresh farm harvested Almonds Online in Pune | Order Fresh Raw Badam Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Fresh Spinach Online in Pune | Order Palak Leaves Near Me","Vegetables",35,44,"0.5 kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/spinach-online-delivery.png","Fresh farm harvested Fresh Spinach Online in Pune | Order Palak Leaves Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""0.5 kg"",""price"":35,""stock"":50}]"
"Ladyfinger","Vegetables",90,113,"750-gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/buy-ladyfingure-near-me.png","Fresh farm harvested Ladyfinger. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""750-gm"",""price"":90,""stock"":50},{""weight"":""500gm"",""price"":60,""stock"":50},{""weight"":""250gm"",""price"":30,""stock"":50},{""weight"":""1kg"",""price"":120,""stock"":50}]"
"Coriander","Vegetables",25,31,"0.5 kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/kothimbir-home-delivery.png","Fresh farm harvested Coriander. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""0.5 kg"",""price"":25,""stock"":50}]"
"Broccoli Online in Pune | Fresh &amp; Organic Broccoli Near Me","Exotics",160,200,"500gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/02/buy-organic-broccoli-in-pune.webp","Fresh farm harvested Broccoli Online in Pune | Fresh &amp; Organic Broccoli Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""500gm"",""price"":160,""stock"":50},{""weight"":""750-gm"",""price"":240,""stock"":50},{""weight"":""250gm"",""price"":80,""stock"":50},{""weight"":""1kg"",""price"":320,""stock"":50}]"
"Pumpkin","Vegetables",60,75,"750-gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/Buy-Pumpkin.webp","Fresh farm harvested Pumpkin. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""750-gm"",""price"":60,""stock"":50},{""weight"":""500gm"",""price"":40,""stock"":50},{""weight"":""250gm"",""price"":20,""stock"":50},{""weight"":""1kg"",""price"":80,""stock"":50}]"
"Organic Sweet Corn","Dairy & Staples",80,100,"0.5 kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/buy-fresh-corn-online.webp","Fresh farm harvested Organic Sweet Corn. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""0.5 kg"",""price"":80,""stock"":50},{""weight"":""0.5 kg"",""price"":30,""stock"":50}]"
"Mushroom Online in Pune | Fresh Organic Mushrooms Near Me","Dairy & Staples",60,75,"0.5 kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/buy-mushroom-online.png","Fresh farm harvested Mushroom Online in Pune | Fresh Organic Mushrooms Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""0.5 kg"",""price"":60,""stock"":50}]"
"Garlic","Vegetables",150,188,"750-gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/06/buy-garlic-online-Lasun.png","Fresh farm harvested Garlic. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""750-gm"",""price"":150,""stock"":50},{""weight"":""250gm"",""price"":50,""stock"":50},{""weight"":""500gm"",""price"":100,""stock"":50},{""weight"":""1kg"",""price"":200,""stock"":50}]"
"Raisins Online in Pune | Dry Black &amp; Yellow Kishmish Near Me","Vegetables",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/Buy-Golden-Raisins-Online.webp","Fresh farm harvested Raisins Online in Pune | Dry Black &amp; Yellow Kishmish Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Cashew Nuts Online in Pune | Fresh &amp; Organic Kaju Near Me","Dairy & Staples",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/buy-organic-cashews-online.webp","Fresh farm harvested Cashew Nuts Online in Pune | Fresh &amp; Organic Kaju Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Purple Cabbage Online in Pune | Fresh Red Cabbage Near Me","Vegetables",60,75,"0.5 kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/organic-lal-kobi-pune.webp","Fresh farm harvested Purple Cabbage Online in Pune | Fresh Red Cabbage Near Me. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""0.5 kg"",""price"":60,""stock"":50}]"
"Green Bitter Melon Gourd","Fruits",60,75,"500gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/Buy-Green-Bitter-online.webp","Fresh farm harvested Green Bitter Melon Gourd. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""500gm"",""price"":60,""stock"":50},{""weight"":""750-gm"",""price"":90,""stock"":50},{""weight"":""1kg"",""price"":120,""stock"":50},{""weight"":""250gm"",""price"":30,""stock"":50}]"
"Thai Fresh Chili","Vegetables",300,375,"0-5kg",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/buy-fresh-chilli-online.webp","Fresh farm harvested Thai Fresh Chili. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""0-5kg"",""price"":300,""stock"":50},{""weight"":""1kg"",""price"":600,""stock"":50}]"
